product_category_name,product_id_count
agro_industria_e_comercio,74
alimentos,82
alimentos_bebidas,104
artes,55
artes_e_artesanato,19
artigos_de_festas,26
artigos_de_natal,65
audio,58
automotivo,1900
bebes,919
bebidas,81
beleza_saude,2444
brinquedos,1411
cama_mesa_banho,3029
casa_conforto,111
casa_conforto_2,5
casa_construcao,225
cds_dvds_musicais,1
cine_foto,28
climatizacao,124
consoles_games,317
construcao_ferramentas_construcao,400
construcao_ferramentas_ferramentas,39
construcao_ferramentas_iluminacao,78
construcao_ferramentas_jardim,88
construcao_ferramentas_seguranca,91
cool_stuff,789
dvds_blu_ray,48
eletrodomesticos,370
eletrodomesticos_2,90
eletronicos,517
eletroportateis,231
esporte_lazer,2867
fashion_bolsas_e_acessorios,849
fashion_calcados,173
fashion_esporte,19
fashion_roupa_feminina,27
fashion_roupa_infanto_juvenil,5
fashion_roupa_masculina,95
fashion_underwear_e_moda_praia,53
ferramentas_jardim,753
flores,14
fraldas_higiene,12
industria_comercio_e_negocios,68
informatica_acessorios,1639
instrumentos_musicais,289
la_cuisine,10
livros_importados,31
livros_interesse_geral,216
livros_tecnicos,123
malas_acessorios,349
market_place,104
moveis_colchao_e_estofado,10
moveis_cozinha_area_de_servico_jantar_e_jardim,94
moveis_decoracao,2657
moveis_escritorio,309
moveis_quarto,45
moveis_sala,156
musica,27
papelaria,849
pc_gamer,3
pcs,30
perfumaria,868
pet_shop,719
portateis_casa_forno_e_cafe,31
portateis_cozinha_e_preparadores_de_alimentos,10
relogios_presentes,1329
seguros_e_servicos,2
sinalizacao_e_seguranca,93
tablets_impressao_imagem,9
telefonia,1134
telefonia_fixa,116
utilidades_domesticas,2335
